pid,file_name,label,location,_date,month_str,year,type,notes,teams,game_info,player_info,inventoried
SB_News_Times_August_1_1920,SB_News_Times_August_1_1920.jpg,South Bend News Times,"South Bend, Indiana, US",1/8/1920,August,1920,JPG,,,,,n
SB_News_Times_August_10_1921,SB_News_Times_August_10_1921.jpg,South Bend News Times,"South Bend, Indiana, US",10/8/1921,August,1921,JPG,,,,,n
SB_News_Times_August_13_1922,SB_News_Times_August_13_1922.jpg,South Bend News Times,"South Bend, Indiana, US",13/08/1922,August,1922,JPG,,,,,n
SB_News_Times_August_19_1920,SB_News_Times_August_19_1920.jpg,South Bend News Times,"South Bend, Indiana, US",19/08/1920,August,1920,JPG,,,,,n
SB_News_Times_August_20_1922,SB_News_Times_August_20_1922.jpg,South Bend News Times,"South Bend, Indiana, US",20/08/1922,August,1922,JPG,,,,,n
SB_News_Times_August_24_1922,SB_News_Times_August_24_1922.jpg,South Bend News Times,"South Bend, Indiana, US",24/08/1922,August,1922,JPG,,,,,n
SB_News_Times_August_28_1914,SB_News_Times_August_28_1914.jpg,South Bend News Times,"South Bend, Indiana, US",28/08/1914,August,1914,JPG,,,,,n
SB_News_Times_August_30_1916,SB_News_Times_August_30_1916.jpg,South Bend News Times,"South Bend, Indiana, US",30/08/1916,August,1916,JPG,,,,,n
SB_News_Times_August_31_1919,SB_News_Times_August_31_1919.jpg,South Bend News Times,"South Bend, Indiana, US",31/08/1919,August,1919,JPG,,,,,n
SB_News_Times_August_31_1921,SB_News_Times_August_31_1921.jpg,South Bend News Times,"South Bend, Indiana, US",31/08/1921,August,1921,JPG,,,,,n
SB_News_Times_December_07_1918,SB_News_Times_December_07_1918.jpg,South Bend News Times,"South Bend, Indiana, US",7/12/1918,December,1918,JPG,,,,,n
SB_News_Times_February_04_1918,SB_News_Times_February_04_1918.jpg,South Bend News Times,"South Bend, Indiana, US",4/2/1918,February,1918,JPG,,"Studebaker team, All-Star team of Mishawaka ",n,y,y
SB_News_Times_February_12_1919,SB_News_Times_February_12_1919.jpg,South Bend News Times,"South Bend, Indiana, US",12/2/1919,February,1919,JPG,,,,,n
SB_News_Times_February_19_1917,SB_News_Times_February_19_1917.jpg,South Bend News Times,"South Bend, Indiana, US",19/02/1917,February,1917,JPG,,,,,n
